parameter_name,Centre resting time
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,l685umqr4im0lx5
parameter_id,ESLIM_007_001_011
gene_accession_id,MGI:1921262
gene_symbol,Rap2b
pvalue,0.896078
