parameter_name,Head coat/hair presence
parameter_id,MGP_CSD_015_001
gene_symbol,Rhbg
mouse_life_stage,Early adult
pvalue,0.2367414
gene_accession_id,MGI:1927379
analysis_id,2oj211vy458k6od
mouse_strain,C54BL
