gene_symbol,Cds2
parameter_id,IMPC_CSD_028_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,rf5ld5m9ii591m0
parameter_name,Snout size
gene_accession_id,MGI:1332236
pvalue,0.2992954
