analysis_id,658zx4t912sc7qd
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_003_001
parameter_name,CD4+ alpha beta T cell percentage
gene_accession_id,MGI:1341628
pvalue,0.6020518
gene_symbol,Atrn
