parameter_name,White blood cell-count
gene_symbol,AU040320
mouse_strain,C57BL
gene_accession_id,MGI:2140475
analysis_id,wj80gp1cwn044oj
mouse_life_stage,Early adult
pvalue,0.8966357
parameter_id,M-G-P_016_001_001
