gene_symbol,Cd52
mouse_strain,C57BL
gene_accession_id,MGI:1346088
pvalue,0.5844588
parameter_name,Fractional Shortening
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_005_001
analysis_id,34kwr6165z63431
