analysis_id,txkldk9o9x826f0
parameter_name,Cue Baseline % Freezing Time
gene_accession_id,MGI:2441730
parameter_id,HRWLLA_FEA_015_001
pvalue,0.3525362
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
mouse_strain,C57BL
