analysis_id,pe31a70690v5203
mouse_strain,C57BL
parameter_name,Corneal opacity
parameter_id,IMPC_EYE_008_001
gene_accession_id,MGI:95835
gene_symbol,Hspa5
pvalue,0.7665207
mouse_life_stage,E12.5
