analysis_id,79l6l5079e429j9
gene_symbol,Kifap3
parameter_name,Follicular B Cells (CD21/35+)
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_067_001
mouse_strain,C57BL
pvalue,0.720056
gene_accession_id,MGI:107566
