analysis_id,lr9uy39k8pam1l6
gene_accession_id,MGI:1913396
parameter_name,Neural tube closure
mouse_strain,C57BL
gene_symbol,Maco1
mouse_life_stage,Early adult
pvalue,0.6543702
parameter_id,IMPC_GEL_027_001
