analysis_id,82swkasd6h05ws8
mouse_strain,C57BL
gene_accession_id,MGI:2653612
pvalue,0.4398371
gene_symbol,Amigo1
parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
mouse_life_stage,Early adult
