gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_strain,C57BL
analysis_id,slv1tyjeb253lmb
parameter_id,MGP_PBI_009_001
pvalue,0.7201861
