parameter_name,Activity (body position)
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
analysis_id,l7rabwe16mxlw5c
parameter_id,IMPC_CSD_029_001
pvalue,0.7260129
mouse_life_stage,Early adult
mouse_strain,C57BL
