analysis_id,836ajr0g7543iw8
parameter_id,IMPC_HWT_008_001
gene_symbol,Ahcy
parameter_name,Heart weight
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.7011668
gene_accession_id,MGI:87968
