analysis_id,1f5l5862l76ow8b
pvalue,0.7216197
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Thyroxine
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
parameter_id,IMPC_CBC_053_001
