analysis_id,06m55uau463825e
mouse_strain,C57BL
pvalue,0.2404552
parameter_name,Alkaline phosphatase
gene_symbol,Rgs20
parameter_id,IMPC_CBC_014_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
