parameter_name,Hematocrit
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
analysis_id,n3ort3334r189oo
gene_symbol,Pglyrp3
mouse_strain,C57BL
parameter_id,IMPC_HEM_004_001
pvalue,0.5541364
