parameter_name,Radius
mouse_life_stage,E15.5
analysis_id,819x745799q0467
mouse_strain,C57BL
gene_symbol,Mecom
parameter_id,IMPC_XRY_022_001
gene_accession_id,MGI:95457
pvalue,0.3735446
