parameter_name,Body Weight
pvalue,0.2494289
mouse_life_stage,Early adult
gene_symbol,Fgb
mouse_strain,C57BL
gene_accession_id,MGI:99501
parameter_id,M-G-P_012_001_005
analysis_id,qu4l3lf00hsf8fm
