parameter_name,Sacral processes
gene_accession_id,MGI:2444777
pvalue,0.6087053
analysis_id,iheia6phg69aeed
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ncaph
