parameter_id,HRWLLA_DXA_007_001
pvalue,0.5647859
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
gene_symbol,Frmpd1
mouse_strain,C57BL
analysis_id,919ip48d0a6w2v7
gene_accession_id,MGI:2446274
