gene_symbol,F2
mouse_strain,C57BL
parameter_name,Total CD4+ T cells - % of CD45+
parameter_id,MGP_MLN_064_001
pvalue,0.7819876
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
analysis_id,cmk95sq0i9e3yfx
