parameter_name,Shape of ribcage
parameter_id,IMPC_XRY_059_001
gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.5536438
analysis_id,d9mc9523531q58w
gene_accession_id,MGI:1917604
