parameter_id,HRWLLA_FEA_015_001
analysis_id,ierwv687dmfhaq9
gene_symbol,Extl1
pvalue,0.4458657
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Cue Baseline % Freezing Time
gene_accession_id,MGI:1888742
