analysis_id,3p5n1cga29yfs9y
parameter_name,Whole arena average speed
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_id,IMPC_OFD_009_001
gene_symbol,Hspa5
mouse_life_stage,E9.5
pvalue,0.1410266
