analysis_id,p94br2k4yw9m6sr
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_101_001
gene_symbol,F2
pvalue,0.5017927
gene_accession_id,MGI:88380
parameter_name,KLRG1+ NK cells - % of CD45+
