parameter_name,Alanine aminotransferase
analysis_id,vq70eob6312a9oc
gene_symbol,Pglyrp3
pvalue,0.6499029
mouse_strain,C57BL
gene_accession_id,MGI:2685266
parameter_id,IMPC_CBC_013_001
mouse_life_stage,Early adult
