analysis_id,aey5311p054mv56
gene_symbol,Cntfr
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_accession_id,MGI:99605
parameter_id,MGP_IMM_094_001
pvalue,0.07744629
mouse_strain,C57BL
mouse_life_stage,Early adult
