mouse_strain,C57BL
pvalue,1.319315
analysis_id,3jksz84n4352o0l
parameter_id,JAXLA_CSD_022_001
gene_symbol,Sgip1
mouse_life_stage,Early adult
parameter_name,Hindlimbs - size
gene_accession_id,MGI:1920344
