analysis_id,e02oaa842cm66t3
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
mouse_strain,C57BL
pvalue,0.894985
gene_accession_id,MGI:1913506
parameter_id,IMPC_IMM_005_002
mouse_life_stage,Early adult
gene_symbol,Ssr2
