analysis_id,79l1x6f7gucsrw5
gene_accession_id,MGI:97054
parameter_name,Mean cell volume
gene_symbol,Mov10
parameter_id,ESLIM_016_001_005
mouse_life_stage,Early adult
pvalue,0.08543854
mouse_strain,C57BL
