analysis_id,jcf70ji16y1e3x2
mouse_strain,C57BL
gene_symbol,Dmap1
pvalue,0.2882695
gene_accession_id,MGI:1913483
parameter_id,IMPC_OFD_017_001
parameter_name,Center average speed
mouse_life_stage,E12.5
