gene_symbol,F2
gene_accession_id,MGI:88380
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Head coat/hair presence
analysis_id,e5qhscma6260ax7
parameter_id,MGP_CSD_015_001
pvalue,0.2636943
