gene_symbol,Trpa1
pvalue,0.8299955
parameter_name,Total B cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_041_001
analysis_id,3gn70h5538zu0i9
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
