parameter_name,Neural tube closure
parameter_id,IMPC_GEL_027_001
gene_symbol,Lpgat1
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
analysis_id,osj72sm4c9qt50t
pvalue,0.6992899
mouse_strain,C57BL
