parameter_name,Eosinophil percentage
mouse_strain,C57BL
pvalue,0.1684735
gene_accession_id,MGI:1915087
parameter_id,MGP_PBI_020_001
mouse_life_stage,Early adult
gene_symbol,Tiprl
analysis_id,lyy7n4755rd6q8c
