gene_symbol,Slc28a2
mouse_life_stage,Early adult
gene_accession_id,MGI:1913105
pvalue,0.8140073
analysis_id,9mhi80k1qc24499
parameter_id,MGP_MLN_005_001
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
