gene_symbol,Ahctf1
parameter_id,IMPC_XRY_024_001
pvalue,0.1748341
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,638ws316hxdmd42
parameter_name,Femur
gene_accession_id,MGI:1915033
