analysis_id,7b24u244327lij7
gene_accession_id,MGI:88174
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_id,JAXLA_DXA_009_001
parameter_name,Fat/Body weight
mouse_life_stage,E15.5
pvalue,0.5801155
