analysis_id,66ejft2i7woa6h5
pvalue,0.7841331
mouse_strain,C57BL
parameter_id,IMPC_EYE_004_001
parameter_name,Eyelid morphology
gene_symbol,Lime1
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
