analysis_id,2i05i2t16jh7346
gene_accession_id,MGI:2448481
gene_symbol,Mgst2
parameter_id,MGP_CSD_025_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9246039
parameter_name,Ventral coat/hair presence
