analysis_id,c88r5nt51mz3y87
gene_symbol,Ola1
pvalue,0.4029328
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
mouse_strain,C57BL
parameter_name,lens
parameter_id,M-G-P_014_001_009
