parameter_id,HRWLLA_CSD_008_001
gene_accession_id,MGI:1916043
mouse_strain,C57BL
parameter_name,Coat - color pattern - back
pvalue,0.2577568
gene_symbol,RAB3GAP2
analysis_id,r80lw6137nu2vb6
mouse_life_stage,Early adult
