parameter_name,Zygomatic bone
pvalue,0.6799666
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,818s3q71o5fdh73
parameter_id,IMPC_XRY_002_001
gene_symbol,Slc30a4
