gene_symbol,Golm2
parameter_name,Eosinophils
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,3hpnyyanz856e14
gene_accession_id,MGI:2443129
parameter_id,IMPC_IMM_052_001
pvalue,0.1320005
