pvalue,0.2053307
analysis_id,huqa2942rd08u5i
parameter_name,Respiration Rate
mouse_strain,C57BL
gene_symbol,Orc2
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
parameter_id,IMPC_ECH_018_001
