gene_symbol,Traf6
analysis_id,94z756l57w6827e
mouse_life_stage,Early adult
parameter_id,IMPC_GRS_011_001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.02662382
mouse_strain,C57BL
gene_accession_id,MGI:108072
