parameter_id,JAX_LDT_003_001
analysis_id,9r6n5x23pckg4o7
parameter_name,Time mobile light side
pvalue,0.6998819
gene_accession_id,MGI:109585
gene_symbol,Pld1
mouse_strain,C57BL
mouse_life_stage,Early adult
