parameter_name,Tibia
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,eiw460074vuf0g3
pvalue,0.3948505
parameter_id,IMPC_XRY_025_001
gene_accession_id,MGI:1274787
gene_symbol,Trdmt1
