gene_symbol,Fpgs
gene_accession_id,MGI:95576
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
parameter_id,MGP_MLN_093_001
analysis_id,u8e8zau6r758671
pvalue,0.9945724
