analysis_id,qoq09399db8w0c4
pvalue,0.6730234
gene_accession_id,MGI:1914071
parameter_id,MGP_MLN_001_001
parameter_name,Total T cells - % of CD45+
gene_symbol,Bcs1l
mouse_life_stage,E9.5
mouse_strain,C57BL
