analysis_id,295977jvt6f5rw8
Parameter_id,MGP_PBI_014_001
parameter_name,B cell percentage
Mouse_life_stage,Early adult
gene_accession_id,MGI:96757
Gene_symbol,Lcn2
Mouse_strain,C57BL
pvalue,0.9289782
