analysis_id,noerjv3tt5063w6
parameter_name,HRV
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
pvalue,0.05732781
gene_symbol,Bmi1
parameter_id,IMPC_ECG_010_001
mouse_strain,C57BL
