parameter_name,Chloride
analysis_id,3438h3189704t66
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_003_001
gene_accession_id,MGI:95576
mouse_strain,C57BL
gene_symbol,Fpgs
pvalue,0.8986219
