gene_symbol,Rgs20
mouse_life_stage,Early adult
parameter_name,Triglycerides
mouse_strain,C57BL
gene_accession_id,MGI:1929866
analysis_id,9poz3s3ip3l9uf5
pvalue,0.9115756
parameter_id,HMGULA_CBC_017_001
