parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_002
gene_symbol,Sgip1
gene_accession_id,MGI:1920344
pvalue,0.8677139
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,h837g775c4ze6su
