analysis_id,e4lkh1ll5qbwi38
pvalue,0.5192172
mouse_strain,C57BL
parameter_name,Lymphocyte differential count
mouse_life_stage,E9.5
gene_symbol,Ahcy
parameter_id,IMPC_HEM_031_001
gene_accession_id,MGI:87968
