analysis_id,31g3166aq546as2
gene_symbol,Ntmt2
parameter_name,Heart looping
gene_accession_id,MGI:2685053
mouse_strain,C57BL
pvalue,0.6220307
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_057_001
