gene_symbol,Wars2
mouse_strain,C57BL
parameter_id,MGP_PBI_035_001
analysis_id,16908mmc49ci92b
mouse_life_stage,E9.5
pvalue,0.7073664
gene_accession_id,MGI:1917810
parameter_name,IgD+ mature B cell number
