parameter_name,Neutrophils
gene_accession_id,MGI:3616086
gene_symbol,Kcng1
parameter_id,IMPC_IMM_050_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6105421
analysis_id,54qv0hm2mva7mx2
