gene_symbol,Smyd2
analysis_id,471n6xz1a63m220
pvalue,0.1245413
parameter_id,MGP_MLN_063_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915889
parameter_name,Total ab T cells - % of CD45+
mouse_strain,129SV
