gene_symbol,Zfp683
parameter_id,M-G-P_008_001_013
mouse_strain,C57BL
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
analysis_id,62g879ln7j135a7
pvalue,0.7639813
parameter_name,Startle Response
