parameter_name,B cell percentage
analysis_id,tftdxo14ue945ql
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
mouse_strain,C57BL
gene_symbol,Arpc2
pvalue,0.9617815
parameter_id,MGP_PBI_014_001
