analysis_id,0doy9p4e30zw069
mouse_life_stage,Early adult
parameter_name,Limb grasping
parameter_id,ESLIM_008_001_017
gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
pvalue,0.3076552
mouse_strain,C57BL
